OBJECTID,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstige,Longitude,Latitude,Kommentar,Stadtteil,typ,involved,art
,2025,12,7,3,Unfall mit Schwerverletzten,4.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,8.49451311000007,49.50973558000004,,,Unfall im Längsverkehr,Fahrrad,Zusammenstoß mit entgegenkommendem Fahrzeug
,2025,12,6,3,Unfall mit Leichtverletzten,5.0,5.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,8.48619996800005,49.523462962000046,,,Unfall durch ruhenden Verkehr,"Fahrrad, Pkw",Zusammenstoß mit einbiegendem / kreuzendem Fahrzeug
,2025,12,0,3,Unfall mit Leichtverletzten,0.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,8.48646715700005,49.49428556200007,,,sonstiger Unfall,Fahrrad,Unfall anderer Art
,2025,12,16,2,Unfall mit Leichtverletzten,5.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,8.450502184000072,49.54979026600006,,,Einbiegen / Kreuzen-Unfall,"Fahrrad, Pkw",Zusammenstoß mit einbiegendem / kreuzendem Fahrzeug
,2025,12,10,2,Unfall mit Leichtverletzten,5.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8.457654943000023,49.491866282000046,,,Einbiegen / Kreuzen-Unfall,"Fahrrad, Pkw",Zusammenstoß mit einbiegendem / kreuzendem Fahrzeug
,2025,12,20,1,Unfall mit Schwerverletzten,0.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,8.504241853000053,49.49803022500004,,,sonstiger Unfall,Fahrrad,Unfall anderer Art
,2025,12,16,1,Unfall mit Leichtverletzten,5.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,8.490131138000038,49.47830754300002,,,Abbiegeunfall,"Fahrrad, Pkw",Zusammenstoß mit einbiegendem / kreuzendem Fahrzeug
,2025,12,12,1,Unfall mit Leichtverletzten,5.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8.52406841800007,49.50942991800008,,,Einbiegen / Kreuzen-Unfall,"Fahrrad, Pkw",Zusammenstoß mit einbiegendem / kreuzendem Fahrzeug
,2025,12,9,1,Unfall mit Leichtverletzten,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.503770501000076,49.47781029200007,,,sonstiger Unfall,Fahrrad,Unfall anderer Art
,2025,11,17,6,Unfall mit Leichtverletzten,5.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,8.48544548500007,49.454408968000045,,,Einbiegen / Kreuzen-Unfall,"Fahrrad, Pkw",Zusammenstoß mit einbiegendem / kreuzendem Fahrzeug
,2025,11,11,6,Unfall mit Leichtverletzten,0.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8.468060729000058,49.487870698000044,,,Unfall durch ruhenden Verkehr,"Fahrrad, Pkw",Unfall anderer Art
,2025,11,9,6,Unfall mit Schwerverletzten,5.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8.473456044000045,49.49195842100005,,,Einbiegen / Kreuzen-Unfall,"Fahrrad, Pkw",Zusammenstoß mit einbiegendem / kreuzendem Fahrzeug
,2025,11,5,6,Unfall mit Leichtverletzten,5.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,8.481054954000058,49.535644113000046,,,Abbiegeunfall,"Fahrrad, Pkw",Zusammenstoß mit einbiegendem / kreuzendem Fahrzeug
